ls1 (mm),ls2 (mm),ls3 (mm),ws1 (mm),ws2 (mm),ws3 (mm),Frequency 1 (GHz),S11 1 (dB),Frequency 2 (GHz),S11 2 (dB),Frequency 3 (GHz),S11 3 (dB)
8,9.5,8,1,2,0.25,2.3,-14.9062762649324,5.1,-23.009753287068,5.75,-14.8335095959134
7.5,9,7.5,0.5,1.5,0.5,2.5,-10.9626859259911,5.35,-14.2181241079296,,
7.5,9,7.5,0.75,1.5,0.5,2.5,-13.7526774004651,5.35,-15.1881382869838,,
7.5,9,7.5,1,1.5,0.5,2.5,-14.4324448610088,5.4,-16.0788260377654,,
7.75,9,7.5,0.5,1.5,0.5,2.5,-13.2790086184214,5.35,-17.2232104776165,,
7.75,9,7.5,0.75,1.5,0.5,2.5,-16.3770509835375,5.35,-21.625411350571,,
7.75,9,7.5,1,1.5,0.5,2.45,-20.6272289248985,5.3,-19.9110705071355,5.9,-10.2039786333992
8,9,7.5,0.5,1.5,0.5,2.5,-14.3784609070268,5.2,-18.2618785074678,5.8,-10.2460762857409
8,9,7.5,0.75,1.5,0.5,2.45,-16.1270837439426,5.25,-22.6404381337133,,
8,9,7.5,1,1.5,0.5,2.45,-27.9377579275399,5.35,-19.1903331127862,5.95,-10.069625823822
7.5,9,7.5,0.5,1.75,0.5,2.5,-11.947120731511,5.3,-14.0933527934539,,
7.5,9,7.5,0.75,1.75,0.5,2.45,-14.2828091855534,5.25,-15.7409206575545,,
7.5,9,7.5,1,1.75,0.5,2.45,-18.0760594136475,5.35,-16.1044348303023,,
7.75,9,7.5,0.5,1.75,0.5,2.5,-12.5174427219557,5.3,-17.013600771114,,
7.75,9,7.5,0.75,1.75,0.5,2.45,-16.31191042254,5.3,-22.7753194249729,,
7.75,9,7.5,1,1.75,0.5,2.45,-19.4298680073564,5.35,-21.3563517276525,,
8,9,7.5,0.5,1.75,0.5,2.5,-13.6884794354138,5.25,-18.1212587214742,,
8,9,7.5,0.75,1.75,0.5,2.45,-21.2132453263296,5.3,-20.0244963809871,,
8,9,7.5,1,1.75,0.5,2.45,-18.6823933929449,5.3,-24.5326422775211,,
7.5,9,7.5,0.5,2,0.5,2.5,-10.7436582417097,5.25,-15.2580529162682,,
7.5,9,7.5,0.75,2,0.5,2.45,-15.2816070687584,5.05,-14.0268673825158,5.85,-10.9485041789661
7.5,9,7.5,1,2,0.5,2.45,-16.5728191565989,5.3,-16.2273641648466,,
7.75,9,7.5,0.5,2,0.5,2.5,-12.5619614603046,5.25,-22.6987089018479,,
7.75,9,7.5,0.75,2,0.5,2.45,-17.5653120361607,5.3,-18.3557937835431,,
7.75,9,7.5,1,2,0.5,2.45,-15.7542936071722,5.3,-25.7392195686508,,
8,9,7.5,0.5,2,0.5,2.45,-14.9969585266309,5.2,-22.0230170686617,,
8,9,7.5,0.75,2,0.5,2.45,-19.0278464223249,5.25,-28.2057432081382,,
8,9,7.5,1,2,0.5,2.4,-20.9068295468708,5.25,-20.1222633956408,,
7.5,9.25,7.5,0.5,1.5,0.5,2.5,-11.4644929153681,5.35,-14.4337254975282,,
7.5,9.25,7.5,0.75,1.5,0.5,2.45,-15.4842700927872,5.35,-15.9654692755701,,
7.5,9.25,7.5,1,1.5,0.5,2.45,-15.8821721574744,5.35,-16.5233588569581,,
7.75,9.25,7.5,0.5,1.5,0.5,2.45,-13.0451738881249,5.3,-21.5514950043033,,
7.75,9.25,7.5,0.75,1.5,0.5,2.45,-16.7735333193003,5.35,-19.435569571996,,
7.75,9.25,7.5,1,1.5,0.5,2.4,-17.140896490868,5.3,-25.2074591407823,,
8,9.25,7.5,0.5,1.5,0.5,2.45,-16.4530085689394,5.3,-19.3662824929346,,
8,9.25,7.5,0.75,1.5,0.5,2.45,-16.2439028222779,5.3,-26.8134847428633,,
8,9.25,7.5,1,1.5,0.5,2.4,-21.2827960125766,5.25,-26.1077927054935,5.85,-10.7800504819901
7.5,9.25,7.5,0.5,1.75,0.5,2.45,-13.1097193513703,5.35,-15.194811439391,,
7.5,9.25,7.5,0.75,1.75,0.5,2.45,-13.4113093562826,5.35,-15.7804106334205,,
7.5,9.25,7.5,1,1.75,0.5,2.4,-17.3892821843978,5.3,-19.2565731571981,,
7.75,9.25,7.5,0.5,1.75,0.5,2.45,-13.6453811421898,5.3,-19.3210305630226,,
7.75,9.25,7.5,0.75,1.75,0.5,2.45,-14.1321571706466,5.3,-21.8084533718678,,
7.75,9.25,7.5,1,1.75,0.5,2.4,-20.8489009600492,5.25,-21.7930829358228,5.9,-10.6393993230262
8,9.25,7.5,0.5,1.75,0.5,2.45,-15.3370180967627,5.25,-34.2528497614252,,
8,9.25,7.5,0.75,1.75,0.5,2.4,-18.8141880391844,5.2,-19.7292508203972,,
8,9.25,7.5,1,1.75,0.5,2.4,-22.5096684629144,5.25,-20.1934400768041,,
7.5,9.25,7.5,0.5,2,0.5,2.45,-13.1121247052295,5.3,-15.9915155624895,,
7.5,9.25,7.5,0.75,2,0.5,2.4,-14.2181294901021,5.3,-16.7636336523726,,
7.5,9.25,7.5,1,2,0.5,2.4,-19.6867861230991,5.3,-17.4001869710109,,
7.75,9.25,7.5,0.5,2,0.5,2.4,-13.1611821232456,5.25,-22.2706444415853,,
7.75,9.25,7.5,0.75,2,0.5,2.4,-19.1595676859844,5.3,-22.2452268898698,,
7.75,9.25,7.5,1,2,0.5,2.4,-18.2721646742406,5.25,-26.5849789360605,,
8,9.25,7.5,0.5,2,0.5,2.4,-14.4034822855791,5.25,-30.908262482156,,
8,9.25,7.5,0.75,2,0.5,2.4,-22.7718293272001,5.25,-21.1307931541278,,
8,9.25,7.5,1,2,0.5,2.4,-15.762743934874,5.25,-19.5704351714076,,
7.5,9.5,7.5,0.5,1.5,0.5,2.45,-11.6462890914077,5.35,-16.527761898765,,
7.5,9.5,7.5,0.75,1.5,0.5,2.4,-14.7137457856056,5.3,-19.168599032434,,
7.5,9.5,7.5,1,1.5,0.5,2.4,-15.5279298584884,5.35,-18.8643959866251,,
7.75,9.5,7.5,0.5,1.5,0.5,2.4,-13.8831497300888,5.3,-18.9173896123857,,
7.75,9.5,7.5,0.75,1.5,0.5,2.4,-19.2256378251925,5.3,-25.3796450469897,,
7.75,9.5,7.5,1,1.5,0.5,2.4,-16.2045110061339,5.3,-25.5568047152496,,
8,9.5,7.5,0.5,1.5,0.5,2.4,-16.0828719639413,5.25,-20.6199919873853,5.75,-10.0656463340409
8,9.5,7.5,0.75,1.5,0.5,2.4,-16.2371494597248,5.25,-25.2667696161285,5.8,-10.0578904817848
8,9.5,7.5,1,1.5,0.5,2.35,-23.1743585506097,5.3,-20.6751046665332,,
7.5,9.5,7.5,0.5,1.75,0.5,2.4,-13.9740512551677,5.35,-16.084462060721,,
7.5,9.5,7.5,0.75,1.75,0.5,2.4,-13.6347674020795,5.3,-16.9918827366061,,
7.5,9.5,7.5,1,1.75,0.5,2.35,-15.2434546817202,5.3,-17.6113580443203,,
7.75,9.5,7.5,0.5,1.75,0.5,2.4,-15.7969031680639,5.3,-25.5129923308115,,
7.75,9.5,7.5,0.75,1.75,0.5,2.35,-15.3349998653105,5.3,-23.3074278128906,,
7.75,9.5,7.5,1,1.75,0.5,2.35,-24.0481593165557,5.2,-22.3345830666976,5.75,-10.0158889789598
8,9.5,7.5,0.5,1.75,0.5,2.4,-15.2664869073266,5.25,-20.6985319212233,,
8,9.5,7.5,0.75,1.75,0.5,2.35,-15.2218237677872,5.2,-24.3292626691779,,
8,9.5,7.5,1,1.75,0.5,2.35,-25.4024546136376,5.25,-22.7321551496177,,
7.5,9.5,7.5,0.5,2,0.5,2.4,-12.5980059135429,5.2,-15.2586668508867,,
7.5,9.5,7.5,0.75,2,0.5,2.35,-13.8757176861459,5.3,-20.8547422762898,,
7.5,9.5,7.5,1,2,0.5,2.35,-19.6545293477144,5.25,-20.318602919389,,
7.75,9.5,7.5,0.5,2,0.5,2.4,-12.5468299952761,5.25,-22.2738659048569,,
7.75,9.5,7.5,0.75,2,0.5,2.35,-19.4682811769065,5.25,-21.3433672410192,,
7.75,9.5,7.5,1,2,0.5,2.35,-15.3683809770753,5.2,-32.2209169531116,,
8,9.5,7.5,0.5,2,0.5,2.35,-16.3547623481267,5.2,-37.4334922958801,,
8,9.5,7.5,0.75,2,0.5,2.35,-20.473224916257,5.15,-21.8137135013343,,
8,9.5,7.5,1,2,0.5,2.35,-16.9246671586579,5.15,-24.4488501095748,5.8,-10.9767566614977
7.5,9,7.75,0.5,1.5,0.5,2.5,-12.0592628191078,5.3,-13.0919024313136,,
7.5,9,7.75,0.75,1.5,0.5,2.5,-13.4732678421135,5.25,-14.7405035449088,5.9,-10.5660696510348
7.5,9,7.75,1,1.5,0.5,2.45,-16.2991833971879,5.3,-15.5494633743336,5.9,-10.1118939426651
7.75,9,7.75,0.5,1.5,0.5,2.5,-13.9118057013119,5.2,-17.0193342143112,5.85,-11.2504341512737
7.75,9,7.75,0.75,1.5,0.5,2.5,-14.8028179397577,5.25,-16.1918263248514,5.9,-11.1886339519983
7.75,9,7.75,1,1.5,0.5,2.45,-20.0518527727594,5.2,-15.4821946068816,5.9,-11.8333741484464
8,9,7.75,0.5,1.5,0.5,2.5,-15.0877214176061,5.2,-22.2213132206559,5.8,-12.0991824220698
8,9,7.75,0.75,1.5,0.5,2.45,-16.4607236929923,5.2,-23.2631764700554,5.8,-11.291377086683
8,9,7.75,1,1.5,0.5,2.45,-25.5834339976599,5.2,-17.5006218930902,5.9,-12.3000434127955
7.5,9,7.75,0.5,1.75,0.5,2.5,-11.9723376628603,5.25,-14.2207683770561,5.9,-10.0291774884059
7.5,9,7.75,0.75,1.75,0.5,2.45,-12.826712278586,5.25,-15.34953729403,5.9,-10.4754949490147
7.5,9,7.75,1,1.75,0.5,2.45,-17.7305075391127,5.25,-15.0880338232709,5.95,-10.1521665059153
7.75,9,7.75,0.5,1.75,0.5,2.5,-13.4966887518292,5.25,-16.0792715685499,5.9,-10.2927795986717
7.75,9,7.75,0.75,1.75,0.5,2.45,-15.7593390207989,5.25,-21.384362369946,,
7.75,9,7.75,1,1.75,0.5,2.45,-18.9934094538278,5.2,-18.2294390825914,5.9,-11.1824260173578
8,9,7.75,0.5,1.75,0.5,2.5,-14.0418904597437,5.2,-19.0338194825518,5.85,-11.6949715693689
8,9,7.75,0.75,1.75,0.5,2.45,-19.9716765957551,5.2,-18.6489773904132,5.85,-11.4062593510225
8,9,7.75,1,1.75,0.5,2.4,-17.3758598552874,5.2,-23.5386403550406,5.9,-12.9057067301543
7.5,9,7.75,0.5,2,0.5,2.5,-11.8809304949651,5.25,-14.4990982013114,,
7.5,9,7.75,0.75,2,0.5,2.45,-15.0453738267111,5.2,-15.8812615693737,,
7.5,9,7.75,1,2,0.5,2.45,-16.1432965153597,5.2,-17.5842426591087,5.95,-10.3742641100238
7.75,9,7.75,0.5,2,0.5,2.45,-12.3944494096375,5.2,-17.997615760874,5.9,-10.586582332789
7.75,9,7.75,0.75,2,0.5,2.45,-17.9928580748394,5.25,-16.5077381403762,,
7.75,9,7.75,1,2,0.5,2.4,-16.5680052414052,5.2,-21.2305883193489,5.95,-10.7871082846022
8,9,7.75,0.5,2,0.5,2.45,-15.9695848052424,5.15,-19.0932733706394,5.9,-10.6948617617889
8,9,7.75,0.75,2,0.5,2.45,-17.122305277484,5.15,-27.2567901439292,5.9,-11.5862111486415
8,9,7.75,1,2,0.5,2.4,-21.8379113987006,5.15,-27.2860871969863,5.9,-11.9996345196747
7.5,9.25,7.75,0.5,1.5,0.5,2.45,-12.5331119794675,5.25,-12.8686355943637,5.8,-10.5689061559474
7.5,9.25,7.75,0.75,1.5,0.5,2.45,-15.4050201131949,5.25,-14.4619970820397,5.85,-10.7412786311081
7.5,9.25,7.75,1,1.5,0.5,2.45,-16.2657494219265,5.3,-14.4368327488564,5.85,-10.8806791262718
7.75,9.25,7.75,0.5,1.5,0.5,2.5,-12.7351144022537,5.15,-14.8340887453393,5.75,-12.0158953230885
7.75,9.25,7.75,0.75,1.5,0.5,2.45,-17.6429774613144,5.25,-18.3067000250127,5.8,-11.6834849559714
7.75,9.25,7.75,1,1.5,0.5,2.4,-19.1133344834126,5.25,-19.9330067227283,5.85,-11.8241767914262
8,9.25,7.75,0.5,1.5,0.5,2.45,-16.205833261803,5.2,-20.3739748057207,5.8,-11.149483871041
8,9.25,7.75,0.75,1.5,0.5,2.45,-16.1280467805206,5.2,-24.0185112743989,5.8,-12.864041167265
8,9.25,7.75,1,1.5,0.5,2.4,-23.1375926184957,5.2,-21.8919518080102,5.8,-13.8551189040099
7.5,9.25,7.75,0.5,1.75,0.5,2.45,-12.98447624735,5.25,-14.7902409004548,5.85,-10.290269546064
7.5,9.25,7.75,0.75,1.75,0.5,2.45,-14.1005528067458,5.25,-17.437575641662,5.85,-10.3690996311215
7.5,9.25,7.75,1,1.75,0.5,2.4,-17.1822735165544,5.25,-16.5956829627439,5.9,-10.1829124035997
7.75,9.25,7.75,0.5,1.75,0.5,2.45,-14.8384601806699,5.25,-20.2326835062778,5.85,-10.4434037719902
7.75,9.25,7.75,0.75,1.75,0.5,2.4,-16.3574051158165,5.2,-16.8156328142463,5.85,-11.2199362722496
7.75,9.25,7.75,1,1.75,0.5,2.4,-23.1964112667148,5.2,-22.9633308475801,5.85,-11.8369549682388
8,9.25,7.75,0.5,1.75,0.5,2.45,-15.4632444579059,5.2,-21.7812427939515,5.8,-11.3726090127116
8,9.25,7.75,0.75,1.75,0.5,2.4,-21.3527526576885,5.2,-22.773877599546,5.85,-11.4228471399719
8,9.25,7.75,1,1.75,0.5,2.4,-20.4525021638839,5.2,-18.2279768576752,5.85,-11.7555426623595
7.5,9.25,7.75,0.5,2,0.5,2.45,-12.2717447507136,5.2,-16.1697499478804,,
7.5,9.25,7.75,0.75,2,0.5,2.4,-15.2594086993742,5.25,-18.1071136105224,,
7.5,9.25,7.75,1,2,0.5,2.4,-17.2994334036103,5.15,-16.2120178201677,5.85,-10.7012863585212
7.75,9.25,7.75,0.5,2,0.5,2.45,-13.2745586583447,5.2,-20.9053071795946,,
7.75,9.25,7.75,0.75,2,0.5,2.4,-17.567472395894,5.2,-21.6310207661357,5.85,-10.4585458726245
7.75,9.25,7.75,1,2,0.5,2.4,-17.7249075732435,5.2,-25.8321545392577,5.9,-10.7110384904874
8,9.25,7.75,0.5,2,0.5,2.4,-14.9329102510828,5.1,-27.9129255325141,5.8,-11.922263746036
8,9.25,7.75,0.75,2,0.5,2.4,-21.3502614330816,5.15,-21.3284793077601,5.85,-11.1544020253228
8,9.25,7.75,1,2,0.5,2.35,-23.1936489569275,5.1,-23.6958372064512,5.75,-10.8950422284056
7.5,9.5,7.75,0.5,1.5,0.5,2.4,-12.3467254892636,5.25,-15.023214336329,5.7,-10.8660024199679
7.5,9.5,7.75,0.75,1.5,0.5,2.4,-17.2196497329648,5.3,-16.4224855561295,5.8,-10.8779649916176
7.5,9.5,7.75,1,1.5,0.5,2.4,-17.092259989675,5.25,-16.5480248400268,5.75,-11.1676802998466
7.75,9.5,7.75,0.5,1.5,0.5,2.4,-13.5758949176664,5.2,-22.3908634295877,5.7,-10.8656356537887
7.75,9.5,7.75,0.75,1.5,0.5,2.4,-17.5303182652659,5.25,-22.0911010915697,5.75,-11.8208918980742
7.75,9.5,7.75,1,1.5,0.5,2.35,-15.47109205738,5.25,-18.323056910029,5.75,-12.2184006697844
8,9.5,7.75,0.5,1.5,0.5,2.4,-19.2346564530386,5.2,-33.7661788737503,5.7,-11.2527199194926
8,9.5,7.75,0.75,1.5,0.5,2.4,-16.555774193496,5.2,-30.9161207560991,5.7,-11.9419089196632
8,9.5,7.75,1,1.5,0.5,2.35,-21.6717458686139,5.2,-29.6193080000374,5.75,-11.9238789934299
7.5,9.5,7.75,0.5,1.75,0.5,2.4,-14.0864373882502,5.25,-16.4630593233095,5.75,-10.2709275082203
7.5,9.5,7.75,0.75,1.75,0.5,2.4,-12.8948141862699,5.2,-16.0977292285724,5.75,-10.4639966702709
7.5,9.5,7.75,1,1.75,0.5,2.35,-19.1004745630822,5.15,-17.1447804403479,5.7,-12.0422855780135
7.75,9.5,7.75,0.5,1.75,0.5,2.4,-14.8848018233124,5.15,-16.8017767939521,5.7,-10.4638518163954
7.75,9.5,7.75,0.75,1.75,0.5,2.35,-15.3324329325102,5.2,-23.9299216145887,5.75,-11.1826879693762
7.75,9.5,7.75,1,1.75,0.5,2.35,-25.7121915551947,5.2,-24.1453188893926,5.8,-11.7864389070533
8,9.5,7.75,0.5,1.75,0.5,2.4,-14.8896311717487,5.2,-23.7240394360488,5.75,-11.6019422801606
8,9.5,7.75,0.75,1.75,0.5,2.35,-16.4491855335492,5.15,-27.2964575529204,5.7,-10.8522162542045
8,9.5,7.75,1,1.75,0.5,2.35,-30.3049467468335,5.1,-29.6670405504743,5.7,-14.9508311883909
7.5,9.5,7.75,0.5,2,0.5,2.4,-12.3273153280359,5.25,-14.9413296525393,,
7.5,9.5,7.75,0.75,2,0.5,2.35,-16.9852123552689,5.25,-18.1257170729174,,
7.5,9.5,7.75,1,2,0.5,2.35,-19.5726321402078,5.25,-18.5190227106784,5.85,-10.1034846479681
7.75,9.5,7.75,0.5,2,0.5,2.35,-14.0399507351244,5.2,-21.6553288909664,,
7.75,9.5,7.75,0.75,2,0.5,2.35,-15.9373937168472,5.15,-17.9932161754853,5.75,-12.0096257376851
7.75,9.5,7.75,1,2,0.5,2.35,-20.1007816920855,5.1,-17.4839249462452,5.75,-12.0117565714356
8,9.5,7.75,0.5,2,0.5,2.35,-13.930167226031,5.15,-25.2699827864076,5.8,-10.234229392424
8,9.5,7.75,0.75,2,0.5,2.35,-21.7798194995066,5.15,-29.1119355848691,5.8,-10.9902646972529
8,9.5,7.75,1,2,0.5,2.35,-16.5636190816699,5.15,-25.5186847723467,5.8,-11.4996259568122
7.5,9,8,0.5,1.5,0.5,2.5,-11.6284983589842,5.8,-11.6001363691522,,
7.5,9,8,0.75,1.5,0.5,2.5,-12.8094232020401,5.2,-14.3450251472621,5.85,-11.5267073724586
7.5,9,8,1,1.5,0.5,2.45,-16.4114489259581,5.15,-11.7470018904979,5.9,-11.6259198054265
7.75,9,8,0.5,1.5,0.5,2.5,-14.0285097951169,5.1,-13.8656594613644,5.8,-13.4215256593531
7.75,9,8,0.75,1.5,0.5,2.5,-13.7484365785611,5.15,-16.2952272723326,5.85,-12.3342950252129
7.75,9,8,1,1.5,0.5,2.45,-19.5126204975242,5.15,-14.3734904276902,5.85,-12.2948239320251
8,9,8,0.5,1.5,0.5,2.5,-14.1374803545804,5.1,-14.4321657938962,5.75,-14.8081766812595
8,9,8,0.75,1.5,0.5,2.45,-17.4693682539131,5.05,-17.0634600329621,5.8,-15.1894245317695
8,9,8,1,1.5,0.5,2.45,-21.3815299573073,5.15,-16.0512331792226,5.85,-15.6080023503122
7.5,9,8,0.5,1.75,0.5,2.5,-11.9173478229379,5.2,-12.4129589804024,5.9,-10.3748531745888
7.5,9,8,0.75,1.75,0.5,2.45,-13.7855127158556,5.1,-11.4037920906599,5.85,-11.1843570097705
7.5,9,8,1,1.75,0.5,2.45,-16.7680425785633,5.2,-12.966599758364,5.9,-11.4348903200392
7.75,9,8,0.5,1.75,0.5,2.5,-13.2503457678932,5.1,-15.0910056090008,5.8,-12.058961780713
7.75,9,8,0.75,1.75,0.5,2.45,-16.2904077891383,5.15,-20.2072818570298,5.85,-11.6802778508821
7.75,9,8,1,1.75,0.5,2.45,-17.7074868198903,5.15,-20.6402909074975,5.9,-12.2634593148712
8,9,8,0.5,1.75,0.5,2.45,-15.0108755686778,5.1,-20.7322962743285,5.8,-13.1938517434496
8,9,8,0.75,1.75,0.5,2.45,-20.6004731101524,5.15,-18.0969406500105,5.85,-13.7324588346998
8,9,8,1,1.75,0.5,2.4,-18.0028182100583,5.1,-20.2096588805569,5.85,-14.0251281999789
7.5,9,8,0.5,2,0.5,2.5,-11.712463663265,5.15,-13.785262673903,5.85,-10.3161826316427
7.5,9,8,0.75,2,0.5,2.45,-15.0067147038495,5.15,-15.4971032009791,5.9,-10.4081970504103
7.5,9,8,1,2,0.5,2.45,-14.7179679547087,5.5,-11.7775622722086,,
7.75,9,8,0.5,2,0.5,2.45,-13.4467617837574,5.1,-15.681719090496,5.9,-11.4675772910494
7.75,9,8,0.75,2,0.5,2.45,-16.7224002655641,5.15,-16.1709126072047,5.9,-11.7156361486418
7.75,9,8,1,2,0.5,2.4,-17.4937159141901,5.1,-19.7054599925392,5.9,-12.0583200465262
8,9,8,0.5,2,0.5,2.45,-16.2825880356252,5.1,-25.3945628213197,5.85,-13.1310999365524
8,9,8,0.75,2,0.5,2.45,-16.4495272914854,5.1,-27.838331665257,5.85,-12.7166408476977
8,9,8,1,2,0.5,2.4,-21.9789915734782,5.1,-18.8801618383872,5.9,-12.5162846532696
7.5,9.25,8,0.5,1.5,0.5,2.45,-12.210550319494,5.15,-11.7641582231201,5.75,-11.8250210046501
7.5,9.25,8,0.75,1.5,0.5,2.45,-14.8766997959342,5.2,-12.033856041943,5.8,-12.0255904140752
7.5,9.25,8,1,1.5,0.5,2.45,-14.0756518256306,5.2,-14.1733768576907,5.8,-11.6707849905143
7.75,9.25,8,0.5,1.5,0.5,2.45,-14.0990968804459,5.15,-17.8454960641847,5.75,-12.7107050722225
7.75,9.25,8,0.75,1.5,0.5,2.45,-16.1478636728847,5.15,-16.2385237295273,5.75,-13.1664962606824
7.75,9.25,8,1,1.5,0.5,2.4,-20.0231767319494,5.15,-14.7804434558858,5.75,-13.8606095544542
8,9.25,8,0.5,1.5,0.5,2.45,-17.3775010969341,5.15,-20.2745184834983,5.75,-14.0508261097812
8,9.25,8,0.75,1.5,0.5,2.4,-15.8575211555385,5.1,-24.4332243231324,5.75,-15.5170729952706
8,9.25,8,1,1.5,0.5,2.4,-30.713861611527,5.1,-16.2189571102511,5.75,-15.429792553441
7.5,9.25,8,0.5,1.75,0.5,2.45,-13.1311680085281,5.15,-12.9475375352883,5.8,-11.3367828098667
7.5,9.25,8,0.75,1.75,0.5,2.45,-13.0778453674367,5.15,-13.5190703204751,5.8,-11.7320738972694
7.5,9.25,8,1,1.75,0.5,2.4,-19.212856433227,5.15,-15.615339367433,5.85,-12.0661041882938
7.75,9.25,8,0.5,1.75,0.5,2.45,-14.4644407439424,5.15,-14.342511204309,5.75,-12.0691241579066
7.75,9.25,8,0.75,1.75,0.5,2.4,-15.3492262881074,5.15,-17.0579541782031,5.8,-12.2875284236357
7.75,9.25,8,1,1.75,0.5,2.4,-22.2620736844598,5.15,-16.0670282230408,5.8,-13.5647268705687
8,9.25,8,0.5,1.75,0.5,2.45,-15.1621090599604,5.1,-28.8977266695412,5.75,-12.2540556308732
8,9.25,8,0.75,1.75,0.5,2.4,-21.4558257531248,5.1,-21.694220659617,5.75,-14.9130491767829
8,9.25,8,1,1.75,0.5,2.4,-18.4743588084437,5.1,-27.0365799559934,5.8,-15.0437770297252
7.5,9.25,8,0.5,2,0.5,2.45,-12.5106346774908,5.15,-14.1077638823299,5.85,-10.8437250100463
7.5,9.25,8,0.75,2,0.5,2.4,-14.9981074198328,5.15,-15.346305077583,5.85,-11.0454540241819
7.5,9.25,8,1,2,0.5,2.4,-17.3534725608342,5.1,-14.1328965780896,5.85,-11.8625681764173
7.75,9.25,8,0.5,2,0.5,2.45,-12.3219913718882,5.1,-18.4201194622639,5.8,-12.3071077291735
7.75,9.25,8,0.75,2,0.5,2.4,-19.1368294021147,5.1,-19.0980807662464,5.8,-12.1165175217062
7.75,9.25,8,1,2,0.5,2.4,-15.6086557397697,5.1,-21.2478144844632,5.85,-11.858127389814
8,9.25,8,0.5,2,0.5,2.4,-15.7373500678523,5.1,-17.0087018812532,5.75,-13.1484692965652
8,9.25,8,0.75,2,0.5,2.4,-18.8496383345114,5.05,-23.6085212095772,5.75,-11.6825888204847
8,9.25,8,1,2,0.5,2.35,-17.8979782899807,5.1,-19.213620531997,5.8,-14.2327418293433
7.5,9.5,8,0.5,1.5,0.5,2.4,-12.6364222399522,5.2,-11.9620062135153,5.7,-12.1415595156795
7.5,9.5,8,0.75,1.5,0.5,2.4,-16.1683250905349,5.2,-13.2995501411756,5.7,-12.1159561545777
7.5,9.5,8,1,1.5,0.5,2.4,-16.429524223166,5.15,-13.3354513461866,5.65,-12.424905719394
7.75,9.5,8,0.5,1.5,0.5,2.4,-16.299653712647,5.15,-15.0093575265811,5.7,-13.3759468301058
7.75,9.5,8,0.75,1.5,0.5,2.4,-17.2393743457846,5.15,-17.030375694121,5.7,-13.9281415100105
7.75,9.5,8,1,1.5,0.5,2.35,-16.4433938457741,5.15,-20.2685689269418,5.7,-14.0686489758194
8,9.5,8,0.5,1.5,0.5,2.4,-18.0601457138388,5.1,-25.3203371654037,5.65,-14.6197476138325
8,9.5,8,0.75,1.5,0.5,2.4,-16.4181195271137,5.1,-17.0885997631233,5.65,-15.6502659272487
8,9.5,8,1,1.5,0.5,2.4,-19.3691156751084,5.0,-31.5279951592707,5.6,-18.4804274050303
7.5,9.5,8,0.5,1.75,0.5,2.4,-12.8428337779151,5.15,-11.9894344614351,5.7,-11.0824253962532
7.5,9.5,8,0.75,1.75,0.5,2.4,-14.9553638455998,5.15,-16.2465335880304,5.75,-12.3959321009046
7.5,9.5,8,1,1.75,0.5,2.35,-22.6951125605404,5.15,-16.3937348816351,5.75,-12.4918523101111
7.75,9.5,8,0.5,1.75,0.5,2.4,-14.2550629847245,5.15,-18.8947307563541,5.7,-12.761442422373
7.75,9.5,8,0.75,1.75,0.5,2.35,-17.3420818932976,5.15,-19.5308936420803,5.75,-13.0298144325259
7.75,9.5,8,1,1.75,0.5,2.35,-25.9165790936843,5.1,-20.8335897343125,5.7,-14.3364581350432
8,9.5,8,0.5,1.75,0.5,2.4,-14.0105737166976,5.1,-20.8589334429687,5.7,-14.571188718731
8,9.5,8,0.75,1.75,0.5,2.35,-20.2819567664312,5.1,-27.7214879369457,5.7,-14.3251661419768
8,9.5,8,1,1.75,0.5,2.35,-19.1300408534624,5.1,-20.8164576181809,5.7,-14.7277410039396
7.5,9.5,8,0.5,2,0.5,2.35,-11.0583594895526,5.15,-12.8118305842555,5.75,-11.0325015271124
7.5,9.5,8,0.75,2,0.5,2.35,-15.3171451405357,5.1,-15.404299531761,5.7,-11.7430670020081
7.5,9.5,8,1,2,0.5,2.35,-15.8436913492586,5.1,-15.5436385751547,5.7,-12.0623838024234
7.75,9.5,8,0.5,2,0.5,2.35,-14.3457691224241,5.15,-17.3642942663038,5.75,-12.4901287148999
7.75,9.5,8,0.75,2,0.5,2.35,-18.3251835842647,5.05,-23.1866639415955,5.65,-12.1530602532264
7.75,9.5,8,1,2,0.5,2.35,-14.9109135950294,5.05,-17.2906641367023,5.7,-13.0918334044862
8,9.5,8,0.5,2,0.5,2.35,-17.5444726356773,5.05,-18.5615714400212,5.7,-13.1042110202673
8,9.5,8,0.75,2,0.5,2.35,-18.5651953448369,5.1,-19.7556404919885,5.7,-13.4103891792254
8,9.5,8,1,2,0.5,2.3,-16.7389743558133,5.1,-31.8045261548201,5.75,-14.1144076568771
7.5,9,7.5,0.5,1.5,0.75,2.5,-11.4145582115691,5.35,-14.160401384756,,
7.5,9,7.5,0.75,1.5,0.75,2.5,-13.5122136694491,5.35,-14.7690836895206,,
7.5,9,7.5,1,1.5,0.75,2.45,-13.9495496843999,5.3,-18.7435212593379,,
7.75,9,7.5,0.5,1.5,0.75,2.5,-12.5367299979569,5.3,-17.3043241478745,,
7.75,9,7.5,0.75,1.5,0.75,2.5,-14.7599392333391,5.3,-21.0515452863285,,
7.75,9,7.5,1,1.5,0.75,2.45,-19.2381275180863,5.35,-17.7581913724411,5.95,-10.0767518448601
